review_id,product_id,customer_id,rating,title,comment,is_verified_purchase,helpful_votes,created_at
1,,316,2,Recommended,Good but expected a bit more.,true,10,2024-07-24
2,27,445,1,Excellent product,Arrived on time and in perfect condition.,false,13,2024-06-16
3,57,440,2,Excellent product,,true,45,03/04/2025
4,60,27,5,Excellent product,Good but expected a bit more.,false,28,"Apr 08, 2025"
5,,164,5,,Did not meet my expectations.,true,32,
6,34,,2,Recommended,Very good quality for the price.,true,41,2024-08-22
7,5,308,3,,Did not meet my expectations.,false,15,
8,85,221,3,VERY GOOD,"Exceeded my expectations, highly recommend.",false,8,2025-09-12
9,82,364,5,,Good but expected a bit more.,true,31,2024-09-29
10,14,127,5,Very good,Very good quality for the price.,false,20,2023-05-22
11,79,165,2,Excellent product,EXCELLENT VALUE FOR MONEY.,false,13,2025-02-18
12,76,414,2,Excellent product,Product is fine but delivery was slow.,false,36,
13,32,146,3,Excellent product,"Exceeded my expectations, highly recommend.",false,7,2024-07-03
14,49,466,1,Good quality,,false,25,2024-09-22
15,58,241,1,Good quality,Does what it promises.,false,32,06-03-2023
16,90,160,,SATISFIED,Does what it promises.,true,24,2024-02-28
17,82,381,2,Could be better,Very good quality for the price.,false,3,2023-05-20
18,44,452,1,excellent product,Very good quality for the price.,true,16,2023-10-24
19,86,1,,Could be better,Product is fine but delivery was slow.,,,2023-09-20
20,46,189,2,Not so good,Arrived on time and in perfect condition.,false,7,2024-11-26
21,72,41,1,Good quality,Does what it promises.,true,2,2024-10-20
22,52,356,3,Could be better,Good but expected a bit more.,true,31,2024-10-04
23,72,,4,,Good but expected a bit more.,true,29,2026-03-05
24,77,76,2,Excellent product,Does what it promises.,true,45,2023-04-02
25,93,275,0,Not so good,arrived on time and in perfect condition.,,7,2025-10-13
26,,207,5,Excellent product,Very good quality for the price.,true,14,2024-12-11
27,89,,1,Not so good,Excellent value for money.,false,45,2025-01-02
28,,100278,3,Good quality,Did not meet my expectations.,false,39,2024-01-07
29,44,40,4,Satisfied,Product is fine but delivery was slow.,true,45,22-07-2025
30,57,261,3,Excellent product,Excellent value for money.,true,21,2024-01-23
31,19,207,3,Satisfied,Very good quality for the price.,true,35,2025-10-12
32,54,299,2,Meets expectations,Excellent value for money.,true,23,2025-03-22
33,35,274,2,Not so good,good but expected a bit more.,false,23,2025-05-10
